,BPS,BPS_Sd,BPS-d8,BPS-d8_Sd,BPSG,BPSG_Sd,BPSG-d8,BPSG-d8_Sd,time
0,552.271925925926,80.98765408434208,6.631111111111111,4.751743799470093,109.19403703703703,36.9057648553488,35573.24244444445,4416.315262227264,0.13333333333333333
1,578.7256666666666,80.59061452179155,7.988750000000001,4.828521169830366,232.00449999999998,46.229236558156565,36523.152583333336,5674.859682327283,0.2333333333333333
2,456.64200980392155,57.32814959921317,10.983810508578431,5.346545036710438,454.70369408700975,85.71831051900806,33707.04225245098,4827.1184657602635,0.4916666666666667
3,263.277607310592,23.665622769164884,12.211834631071559,6.781241079317883,696.3628106229143,26.731560099806384,28112.8240441231,3178.3623336692444,1.0083333333333333
4,137.89239762947082,30.947968673483878,15.146310094602782,7.446756417515809,988.7981886496522,119.16647363329893,27450.69629560142,822.0862491260716,2.0166666666666666
5,45.13004489519538,14.307880028190194,25.050409029340546,3.267483539356326,1098.650357327225,153.0817797709102,27420.927008577684,2976.7161549175817,4.004166666666666
6,18.255911254355397,7.112167221727331,25.85821644599303,7.361599565709297,1187.5836491095624,148.22062446916766,27234.67408054201,3991.9218454966394,6.033333333333332
7,8.798952877182456,2.9669609933728136,26.567437025189918,6.856626362661581,1195.2299196571373,200.767319948588,26414.617688716182,2545.5494732790994,8.020833333333334
8,5.805164953048089,2.2252179121906526,26.417545326802763,10.775721842908276,1158.0994136544457,172.05314781534383,25216.657400854652,3755.7523051927665,9.995833333333334
9,0.006519479194044168,0.004459619492805805,37.64388170440124,10.328783248349634,1125.998134535555,190.5669065698226,22895.155219136916,3006.439074752459,24.12083333333333
10,1.3754452565632456,2.38234106739715,53.28398448330161,16.934038665420193,1098.8249512662753,206.57974846417656,21938.622226051477,2644.0328928622075,34.12083333333334
11,0.05667739538179182,0.03507337320722995,43.54690168218787,11.777945476987748,1017.1752037922474,161.80103026330525,19252.841618113594,2126.8256470904976,47.925
12,1.6042305234374101,1.610920884587977,47.818981730225815,11.594304832271494,1013.1177401730799,213.79994673096994,18725.199967077366,2150.322849003329,58.00416666666666
13,0.8384176952332734,1.400824179069226,44.13578910492835,13.7804262396897,906.2471932256792,149.03078547764648,16251.074715713445,2070.722792111298,71.61666666666666
